ID,문장,유형,극성,시제,확실성,label
TRAIN_00000,0.75%포인트 금리 인상은 1994년 이후 28년 만에 처음이다.,사실형,긍정,현재,확실,사실형-긍정-현재-확실
TRAIN_00001,이어 ＂앞으로 전문가들과 함께 4주 단위로 상황을 재평가할 예정＂이라며 ＂그 이전이라도 방역 지표가 기준을 충족하면 확진자 격리의무 조정 여부를 검토할 것＂이라고 전했다.,사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00002,정부가 고유가 대응을 위해 7월부터 연말까지 유류세 인하 폭을 30%에서 37%까지 확대한다.,사실형,긍정,미래,확실,사실형-긍정-미래-확실
TRAIN_00003,"서울시는 올해 3월 즉시 견인 유예시간 60분을 제공하겠다고 밝혔지만, 하루 만에 차도와 자전거도로는 예외로 하겠다고 입장을 바꾸기도 했다.",사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00004,익사한 자는 사다리에 태워 거꾸로 놓고 소금으로 코를 막아 가득 채운다.,사실형,긍정,현재,확실,사실형-긍정-현재-확실
TRAIN_00005,이같은 변화를 포함해 올해 종부세 과세 대상은 당초 21만4000명에서 12만1000명으로 줄어든다는 게 정부 추산이다.,사실형,긍정,현재,확실,사실형-긍정-현재-확실
TRAIN_00006,"수수꽃다리과로 북한에서 주로 많이 서식한다는 수수꽃다리, 남한의 대표적 라일락으로 털개회나무가 있다.",사실형,긍정,현재,확실,사실형-긍정-현재-확실
TRAIN_00007,"가장 최근에 있었던, OTT 예능 프로그램 출연으로 일약 스타덤에 올랐던 한 인플루언서의 명품 가품 착용 논란도 마찬가지 사례다.",사실형,긍정,현재,확실,사실형-긍정-현재-확실
TRAIN_00008,이번 서비스에는 네이버가 자체 개발한 초대규모 AI 하이퍼클로바 기술이 적용됐다.,사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00009,이 같은 서울시 방침에 직격탄을 맞게 된 곳이 바로 한남근린공원(한남동 677-1)이다.,사실형,긍정,현재,확실,사실형-긍정-현재-확실
TRAIN_00010,스탈린에 아부하는 것이 일상이던 권력자들은 스탈린 이후 누가 후계자가 될 것인지를 놓고 온갖 눈치 작전을 벌인다.,사실형,긍정,현재,확실,사실형-긍정-현재-확실
TRAIN_00011,취약점을 보완하기 위해 무작정 강력한 보안장치를 도입할 수도 없다.,추론형,부정,현재,확실,추론형-부정-현재-확실
TRAIN_00012,비가 내리는 지역에서는 돌풍과 함께 천둥·번개가 치고 일부 지역에선 우박이 떨어지는 곳이 있을 예정이다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
TRAIN_00013,"최근 50대 이상의 서울 강남 거주자들 중심으로 번지고 있는 국민연금 고액 추후납부(추납), 이들은 평소 국민연금을 내지 않고 있다가 연금수령 시점이 돼서 5000만~1억원의 보험료를 한꺼번에 투척하면서 이득을 취한다.",사실형,긍정,현재,확실,사실형-긍정-현재-확실
TRAIN_00014,이어 ＂개별 상황에 어떻게 응대해야 할 것인지도 모호한 상황＂이라며 ＂이 같은 부분도 정리 작업이 필요하다＂고 말했다.,사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00015,"사우스포게임즈가 개발한 ＇스컬＇의 경우도 지난해 부산인디커넥트 페스티벌, 글로벌인디게임제작경진대회 등을 통해 눈도장을 찍기도 했다.",사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00016,"1회 신청 시 1년까지, 보험료 납입기간 중 최대 3회까지 이용할 수 있다.",사실형,긍정,현재,확실,사실형-긍정-현재-확실
TRAIN_00017,서울 아파트 매매가격이 여전히 상승세를 이어가고 있기 때문이다.,추론형,긍정,현재,확실,추론형-긍정-현재-확실
TRAIN_00018,연재하며 가장 어려웠던 부분은 인터뷰이를 맞은편에 앉히는 것이었다.,사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00019,교리를 중시하는 보수주의자와 세상의 변화를 받아들이자는 진보주의자는 사사건건 의견 충돌을 빚지만 결국 가톨릭 전체를 위해 각자 어떤 역할을 해야 하는지에 대해 합의를 이루고 두 사람은 서로를 위해 기도해주는 친구가 된다.,사실형,긍정,현재,확실,사실형-긍정-현재-확실
TRAIN_00020,KF 등급과 유사하게 KN(P)95는 0.075㎛ 이상의 미세먼지를 95% 이상 차단하고 KN(P)100은 99.97% 이상 차단한다.,사실형,긍정,현재,확실,사실형-긍정-현재-확실
TRAIN_00021,1점 차로 초박빙 승부를 펼친 소리꾼 전영랑과 트로트 요정 강유진은 민요와 트로트의 경쟁으로 무대를 다채롭게 했다.,추론형,긍정,과거,확실,추론형-긍정-과거-확실
TRAIN_00022,능양군이 막 문을 나서자 김류의 부인이 나와 ＇지난 밤 꿈에 어가가 집을 나가는 것을 보았는데 곤룡포를 입은 분이 아까 오셨던 젊은 분＇이라고 귀띔했다.,사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00023,이날 오리온 주가는 전 거래일 대비 7.64% 급등하며 10만1500원을 기록했다.,사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00024,임 부장검사는 ＂정유미 부장검사가 당시 주의 깊게 안 들었다고 하기엔 관련 대화가 너무 길어 못 들었을 리 없다＂며 ＂기억을 못 하거나 거짓말을 하거나 둘 중 하나인데 정 부장검사가 저만큼 기억력이 좋다고 할 수는 없고 남 일이기도 하니 기억을 못 하는 걸로 선해 하려 한다＂고 비판했다.,사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00025,"양 지사는 ＂해양 생태 복원, 한국형 해양치유산업, 해양바이오산업, 해양레저관광산업을 전략적으로 추진해 일자리 10만개, 기업 1000개, 생산 25조원 유발, 관광객 연 3000만명 방문 등을 목표로 세웠다＂고 밝혔다.",사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00026,"해당 시민은 ＂김현미 의원님, 고양시 안망쳐 졌어요 고양시＂라고 말하자 김 장관은 ＂그동안 동네 물이 많이 나빠졌네＂라고 말했다.",사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00027,쓰레기장이 제대로 있을 리 없었던 당시에는 오물을 그냥 거리에 버려두었다.,사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00028,그러나 이 업체로부터 ＇하자 상품＇ 통보를 받아 해당 업체 약관에 따라 패널티 금액을 지불해야 했다.,사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00029,당시 참여 병사의 10명 7명인 72%가 자율형을 선호했다.,사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00030,특히 아마타후불화는 더욱 돋보인다.,사실형,긍정,현재,확실,사실형-긍정-현재-확실
TRAIN_00031,"특별히 퇴계 이황, 회재 이언적, 한강 정구, 일두 정여창을 배출했던 경상도가 차별받았다고 《택리지》는 주장한다.",사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00032,팔각정은 관광도로로 유명한 ＇북악 스카이웨이＇로 인근에 있어 이륜차 운전자들이 즐겨 찾는 장소로 꼽힌다.,추론형,긍정,현재,불확실,추론형-긍정-현재-불확실
TRAIN_00033,상업영화 데뷔작 ＇플란다스의 개＇(2000)로는 흥행하지 못했지만 거물 제작자 차승재에게 강한 인상을 남기는 데 성공했다.,추론형,긍정,과거,확실,추론형-긍정-과거-확실
TRAIN_00034,"이번 폐간에는 유튜브, 페이스북 등 모바일 디지털 플랫폼의 부상이 크게 작용했다.",사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00035,영화는 중국 선양에서 일명 ＇야차＇가 이끄는 국정원 비밀공작 전담 블랙팀과 각국 정보부 요원들의 접전을 그린 첩보 액션물이다.,사실형,긍정,현재,확실,사실형-긍정-현재-확실
TRAIN_00036,문체부 측은 사교육업체 강사를 홍보 영상에 출연시킨 이유에 대해 ＂기자단 선발 일을 함께 하는 업체에서 주예지 강사가 유튜브에서 많은 조회 수를 기록한 인물이라고 추천해 홍보영상을 찍게 됐다＂고 설명했다.,사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00037,국방과학연구소와 함께 한화시스템이 국내기술로 개발해 시제1호기에 탑재된 차세대 전투기의 눈으로 불리는 AESA 레이더는 2015년 미국이 AESA 기술이전을 거부한 이후 우리 정부와 방위산업체가 국내 개발을 추진해 보기 좋게 국산화를 이룬 KF-21의 핵심장비이다.,사실형,긍정,현재,확실,사실형-긍정-현재-확실
TRAIN_00038,단일 단지로는 역대 최대 규모다.,사실형,긍정,현재,확실,사실형-긍정-현재-확실
TRAIN_00039,사람 친구는 어느 한쪽에 애인이 생기면 끊어주는 게 쌈빡한 예의 아닐까.,대화형,긍정,미래,확실,대화형-긍정-미래-확실
TRAIN_00040,멘디니는 프랭크 게리(1928~)와 동대문 디자인플라자(DDP)를 설계한 자하 하디드(1950~2016)가 명성을 날리기 전에 커버 인물로 소개했다.,사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00041,구강 관리 역시 중요하다.,추론형,긍정,현재,확실,추론형-긍정-현재-확실
TRAIN_00042,최근 3년간(2016~2018년) 가장 많이 발생한 교통사고 원인 1위는 법규위반은 안전운전 의무 불이행인 것으로 조사됐다.,사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00043,환경부는 2005년부터 국민의 건강권과 대기 환경개선 차원에서 보조금 90%까지 지원하여 약 58만대 이상을 부착하여 기술력과 성능은 물론 수도권 대기 환경개선에 이바지했다.,사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00044,"크기는 100㎖와 474㎖ 두 가지로, 밀크와 딸기 2종으로 출시돼 취향에 따라 선택할 수 있다.",사실형,긍정,현재,확실,사실형-긍정-현재-확실
